Age,Photos,# of Tags,Albums,Gender ,Emp,Profile,Cover,Orientation,Relationship,Posts,Replies,Children,Likes,Edu,Events,Friends
23,382,269,22,0,0,1,1,1,1,14,22,0,15,1,2,652
22,290,242,14,1,1,1,0,1,0,11,17,0,42,0,3,567
24,340,276,15,0,1,1,1,1,0,18,33,0,20,1,5,620
18,284,261,17,0,1,1,0,1,0,15,24,0,12,0,2,432
31,392,302,19,0,1,1,0,1,0,21,36,0,22,0,7,387
22,562,446,28,1,0,1,0,1,1,11,20,0,51,0,5,417
25,463,321,22,1,1,1,1,1,1,14,31,0,23,0,4,552
26,254,187,13,1,1,1,0,1,1,18,27,0,33,1,6,490
23,367,263,18,1,0,1,1,1,0,23,44,0,25,1,8,389
23,1094,876,42,0,1,1,0,1,1,8,12,0,17,0,3,325
20,197,101,8,1,1,1,0,1,0,12,19,0,13,0,2,467
18,442,367,29,0,1,1,0,1,0,18,23,0,10,0,2,551
23,181,123,5,1,0,1,0,1,1,11,29,0,17,0,4,624
20,463,387,22,0,1,1,1,1,1,16,11,0,22,1,3,562
24,393,201,24,1,0,1,0,1,1,8,16,0,12,0,2,180
24,132,721,10,1,1,0,0,1,1,16,15,0,43,0,5,234
18,245,1032,14,0,1,1,1,1,0,29,22,0,64,0,19,657
15,90,432,17,0,1,1,1,1,0,25,13,0,28,1,2,445
22,52,313,3,1,1,1,1,1,1,33,10,0,32,0,5,210
27,95,546,4,1,1,0,1,1,1,4,8,0,30,0,15,105
52,29,532,5,0,1,0,1,1,1,21,26,1,40,0,8,289
29,13,43,6,0,1,1,1,1,1,26,30,1,18,0,22,765
13,167,638,10,0,0,0,1,1,0,14,19,0,22,1,0,105
19,732,1066,9,0,1,1,1,1,0,15,12,0,45,1,12,532
21,239,298,5,0,1,1,0,1,0,10,5,0,28,0,18,312
28,832,642,2,0,1,0,0,1,1,14,10,0,36,0,24,225
25,592,63,13,0,1,1,1,1,1,5,2,0,21,0,13,671
20,472,863,8,0,1,1,1,1,1,24,28,0,19,0,9,803
20,934,599,5,1,1,0,1,1,0,16,30,0,31,0,8,519
27,901,95,5,1,1,1,0,1,1,7,4,0,27,0,13,423
16,29,93,7,0,0,1,0,1,0,18,12,0,34,1,17,372
23,105,865,15,0,1,1,1,1,1,25,17,0,51,0,6,106
26,39,327,6,0,1,0,0,1,1,27,29,0,52,0,11,507
33,207,88,9,0,1,1,0,1,1,13,9,1,20,0,0,206
38,458,851,2,1,1,1,1,1,1,15,26,1,32,0,6,79
24,305,909,7,0,1,1,1,1,0,28,32,1,17,0,4,299
21,23,112,3,1,1,1,1,1,0,56,43,0,62,0,12,428
21,42,178,3,1,1,1,1,1,1,10,5,0,14,1,3,702
25,12,375,3,1,0,1,1,1,1,25,18,0,22,0,6,201
25,17,56,2,1,1,1,1,1,1,32,28,0,20,1,2,247
20,75,327,4,0,1,1,1,1,1,78,64,0,114,0,7,603
22,42,201,3,1,1,0,0,1,1,24,20,0,25,0,6,342
22,64,104,4,1,0,0,0,1,0,22,20,0,34,0,11,560
26,87,123,5,1,1,1,1,1,1,12,10,0,15,0,8,723
21,134,283,6,0,0,1,1,1,0,54,44,0,94,0,17,625
21,212,444,12,0,0,1,1,1,1,68,54,1,78,0,11,1386
20,134,273,8,0,1,0,0,1,1,57,49,1,94,0,12,903
21,20,26,2,1,0,1,1,1,0,3,0,0,6,1,2,220
20,154,364,9,0,1,1,1,1,1,38,31,0,79,0,9,458
20,67,258,3,1,1,1,1,1,1,42,29,0,44,0,6,1223
23,109,242,7,0,1,1,1,1,1,45,32,1,77,1,9,346
22,72,147,3,1,1,1,1,1,1,31,28,0,68,0,12,893
23,15,69,2,1,1,1,1,1,0,26,18,0,21,0,8,289
21,39,158,3,1,1,1,1,1,0,19,17,0,17,0,8,332
21,62,194,5,0,1,1,1,1,1,33,27,0,42,0,7,1243
22,77,150,5,1,1,1,1,1,0,60,55,0,65,0,6,1168
28,78,144,6,0,1,1,1,1,0,13,7,0,24,0,14,776
25,4112,1091,71,0,1,1,0,1,1,26,9,0,334,0,1,643
46,428,97,19,1,1,1,1,1,1,27,11,0,38,1,0,142
23,281,371,16,1,0,1,1,1,0,16,2,0,296,0,3,644
29,412,204,11,1,0,1,1,1,0,60,45,0,141,0,8,669
22,654,226,33,1,1,1,0,0,0,37,9,0,234,0,5,1132
21,2294,0,33,0,0,1,0,1,0,12,4,0,0,0,9,754
18,831,772,14,0,0,1,0,1,1,22,13,0,20,1,16,1212
18,271,479,16,1,0,1,0,1,1,55,30,0,758,0,3,779
29,1674,615,42,1,1,1,0,1,1,26,11,0,48,0,12,283
24,118,213,8,1,1,1,1,1,1,30,18,0,41,0,2,276
20,349,181,14,0,1,1,0,1,0,15,8,0,26,0,1,920
22,2321,1686,42,0,1,1,0,1,0,34,19,0,543,0,9,1172
23,83,685,8,1,0,1,0,1,0,31,12,0,36,1,6,661
